,,,,,,,,,,,,,,,,,,,
,009,MW K-8,sprinkler piping,Edmonds," $ 1,000,000.00 "," $ 2,750,000.00 "," $ 2,415,834.80 ", 5/27/2025 Bid ," $ 334,165.20 "," $ (750,000.00)",,,,,,BTM,1968,6,"2 boilers; controllers are almost irreplaceable; excesive hot spot on rear door; boiler 1 at risk of warped back door; in condensing, should not be"
,010,MW K-8,Pool Remodel,Edmonds," $ 1,000,000.00 ",,,,,,,,,,,TPE,2000?,7,"both boilers leaking, motors replaced recently; both show signs of leaking; safety valve piping laying on ground and cut, needs repair"
,,,2025 subtotal,," $ 10,600,000.00 "," $ 9,110,000.00 "," $ 7,489,850.20 ",," $ 1,620,149.80 "," $ 1,490,000.00 ",,,,,,MDE,2000?,8,safety valve leaking in boiler 1; controllers reached end of cycle count; combustion tune needed
,,,2026 Completion,, 2024 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,SVE,1996?,9,supply pumps leaking; controllers reached end of cycle; supply line j-box uncovered and wires hanging out
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,MTE,2018?,10,safety valves should be replaced (no date); media in condensate neutralizer needs replaced; need pot feeder
,007,TPE,Windows and Doors,Mt. Lake Terrace," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,CLE,1999,11,boiler 1 burner cabinet is taped closed
,008,Varies,Physical security upgrades,Varies," $ 4,000,000.00 "," $ 3,250,000.00 ", $ -   , Ref ," $ 3,250,000.00 "," $ 750,000.00 ",,,,,,SPE,2022?,13,
,,,2026 subtotal,," $ 6,000,000.00 "," $ 3,250,000.00 ", $ -   ,," $ 3,250,000.00 "," $ 2,750,000.00 ",,,,,,scriber?,,,
,,,2027 Completion,, 2024 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,011,CVE,Reroof,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,012,CVE,Windows,Lynnwood," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,013,MLE,Windows and Doors,Sno. Co.," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,014,Varies,Drinking Water,Varies," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,015,MTF,Water over roadway,Lynnwood," $ 800,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 800,000.00 ",,,,,,,,,
,016,Varies,Stage Lighting,Varies," $ 3,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 3,000,000.00 ","EWH,LWH,MDH,MTH",,,,,,,,
,,,2027 subtotal,," $ 8,800,000.00 ", $ -   , $ -   ,," $ 9,654,741.06 "," $ 17,490,000.00 ",,,,,,,,,
,,,2028 Completion,, 2024 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,017,MDH,Bleachers,Lynnwood," $ 500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 500,000.00 ",,,,,,,,,
,018,SWE,FireLane / Water line / Paving,Edmonds," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,019,WWC,Furniture,Edmonds," $ 100,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 100,000.00 ",,,,,,,,,
,021,Varies,VCT Floring,Varies," $ 2,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,500,000.00 ",,,,,,,,,
,022,AWM,6th to middle school,Sno. Co.," $ 750,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 750,000.00 ",,,,,,,,,
,023,MDM,6th to middle school,Lynnwood," $ 750,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 750,000.00 ",,,,,,,,,
,,,2028 subtotal,," $ 5,600,000.00 ", $ -   , $ -   ,, $ -   ," $ 5,600,000.00 ",,,,,,,,,
,,,2029 Completion,, 2024 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,024,Varies,Partnership,Varies," $ 500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 500,000.00 ",,,,,,,,,
,025,,escalation and costs,," $ 3,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 3,500,000.00 ",need 5.1 M to cover MTH HVAC,,,,,,,,
,,,2029 subtotal,," $ 4,000,000.00 ", $ -   , $ -   ,, $ -   ," $ 500,000.00 ",,,,,,,,,
,,,,, 2024 Bond Allocation , Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,2016 Levy Standing,,,,,,,,
,2024 Bond Total,,,," $ 35,000,000.00 "," $ 12,360,000.00 "," $ 7,489,850.20 ",," $ 14,524,890.86 "," $ 27,830,000.00 "," $ 42,354,890.86 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"4,000,000 M dollars of boilers",,,,,,,,,,,,,,,
,2024 Levy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,2025 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,004,MDH,Baseball Turf,Lynnwood," $ 2,500,000.00 "," $ 8,750,000.00 "," $ 9,288,992.58 ", CPO Estimate ," $ (538,992.58)"," $ (3,750,000.00)",,,,,,,,,
,008,MDH,Softball Turf,Lynnwood," $ 2,500,000.00 ",,,,,,,,,,,,,,
,007,LWH,Dampers / Piping,Sno. Co.," $ 1,250,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,250,000.00 ",,,,,,,,,
,,,2025 subtotal,," $ 6,250,000.00 "," $ 8,750,000.00 "," $ 9,288,992.58 ",," $ (538,992.58)"," $ (2,500,000.00)",,,,,,,,,
,,,2026 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,009,Stadium,Turf / Track / Drainage,Edmonds," $ 3,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 3,500,000.00 ",,,,,,,,,
,010,AWM,Field Turf,Sno. Co.," $ 2,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,500,000.00 ",,,,,,,,,
,003,BRE,Boiler / HVAC,Sno. Co.," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,001,HWE,Boiler / HVAC,Brier," $ 1,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,500,000.00 ",,,,,,,,,
,005,MDH,Boiler / HVAC,Sno. Co.," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,006,EWH,Boiler,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,016,Varies,Boiler / HVAC,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,011,MDM,LED Lighting Retrofit,Varies," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,012,MDE,Field Turf,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,,,Reroof,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,,,2026 subtotal,," $ 20,500,000.00 ", $ -   , $ -   ,, $ -   ," $ 2,000,000.00 ",,,,,,,,,
,,,2027 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,013,Varies,Security / Technology Lifecycle,Varies," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,014,SWE,Reroof,Edmonds," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,015,HTE,Reroof,Sno. Co.," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",,,,,,,,,
,017,Varies,Accessbility / ADA / Restrooms,Varies," $ 1,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,000,000.00 ",,,,,,,,,
,,,2027 subtotal,," $ 6,000,000.00 ", $ -   , $ -   ,, $ -   ," $ 6,000,000.00 ",,,,,,,,,
,,,2028 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,018,Varies,Portables,Varies," $ 3,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 3,000,000.00 ",,,,,,,,,
,019,,escalation and costs,," $ 4,250,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 4,250,000.00 ",,,,,,,,,
,,,2028 subtotal,," $ 7,250,000.00 ", $ -   , $ -   ,, $ -   ," $ 3,000,000.00 ",,,,,,,,,
,,,,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,2016 Levy Standing,,,,,,,,
,2024 Levy Total,,,," $ 40,000,000.00 "," $ 8,750,000.00 "," $ 9,288,992.58 ",," $ (538,992.58)"," $ 8,500,000.00 "," $ 7,961,007.42 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2021 Levy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,2023 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,001,CWE,Boiler Upgrade,Mt. Lake Terrace," $ 400,000.00 "," $ 450,000.00 "," $ 375,693.41 ",10/13/22 correction," $ 74,306.59 "," $ (50,000.00)",2021 Completion,,,,,,,,
,003,Varies,Field Signage Standards,Varies," $ 250,000.00 "," $ 250,000.00 "," $ 250,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,031,SVE,"Roof, Gutter, Cladding",Edmonds," $ 2,250,000.00 "," $ 2,250,000.00 "," $ 2,494,799.80 ", 3/28/2023 update ," $ (244,799.80)", $ -   ,,,,,,,,,
,033,HTE/SWE,Playfield Upgrades,Sno. Co.," $ 1,000,000.00 "," $ 1,000,000.00 "," $ 1,343,506.66 ", 2/16/2023 update ," $ (343,506.66)", $ -   ,,,,,,,,,
,004,"MDH, CLE",Aluminum Storefront,Lynnwood," $ 1,900,000.00 "," $ 1,900,000.00 "," $ 1,378,911.90 ", 1/31 bid ," $ 521,088.10 ", $ -   ,,,,,,,,,
,005,Stadium,"Grandstand Railing, Fencing, Gates",Lynnwood," $ 250,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 250,000.00 ",Included in 2020 security,,,,,,,,
,,,2023 subtotal,," $ 6,050,000.00 "," $ 5,850,000.00 "," $ 5,842,911.77 ",," $ 7,088.23 "," $ 200,000.00 ",,,,,,,,,
,,,2024 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,008,OHE ,Portables,Varies," $ 1,450,000.00 "," $ 2,000,000.00 "," $ 1,836,441.10 ", 10/2/2024 update ," $ 163,558.90 "," $ (550,000.00)",make 3 M,,,,,,,,
,016,BVE,Playfield Upgrades,Lynnwood," $ 1,000,000.00 "," $ 350,000.00 "," $ 222,389.84 ", 6/3/2024 est ," $ 127,610.16 "," $ 650,000.00 ",,,delay,(9.5M-5M),,,,,
,017,BTM,Track Surface,Brier," $ 500,000.00 "," $ 850,000.00 "," $ 822,067.75 ", 5/17/2024 est ," $ 27,932.25 "," $ (350,000.00)",,,move up 2024,,,,,,
,011,CVE,Gutter Replacement,Lynnwood," $ 300,000.00 "," $ 250,000.00 "," $ 237,614.90 ", 6/10/2024 update ," $ 12,385.10 "," $ 50,000.00 ",,,,,,,,,
,,,2024 subtotal,," $ 3,250,000.00 "," $ 3,450,000.00 "," $ 3,118,513.60 ",," $ 331,486.40 "," $ (200,000.00)",,,,,,,,,
,,,2025 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,012,Varies,Accessibility Improvement,Varies," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,006,Varies,Accessibility Improvement,Varies," $ 50,000.00 "," $ 50,000.00 "," $ 50,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,007,Varies,Fire Alarm System Upgrades,Varies," $ 1,500,000.00 "," $ 1,500,000.00 "," $ 1,500,000.00 ", Ref , $ -   , $ -   ,"AECC, BRE, CWE, EWH, HWE",,,,,,,,
,015,CPM,Capacity Mitigation,Lynnwood," $ 2,000,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,000,000.00 ",Cancelled,,delay,Cashflow,,,,,
,024,Varies,Field Signage Standards,Varies," $ 250,000.00 "," $ 250,000.00 "," $ 250,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,009,CPE,Roof Replacement,Lynnwood," $ 2,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 2,500,000.00 ",Cancelled,,delay,,,,,,
,010,"BRE, EDE, MLE",Covered Play Areas,Varies," $ 5,500,000.00 "," $ 5,500,000.00 "," $ 2,725,230.25 ", 12/27/2024 Est ," $ 2,774,769.75 ", $ -   ,"BRE, EDE, MLE",,delay,,,,,,
,018,Varies,Portables,Varies," $ 1,450,000.00 "," $ 1,450,000.00 "," $ 1,450,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,019,MTH,Exterior Cladding,Mt. Lake Terrace," $ 400,000.00 "," $ 400,000.00 "," $ 400,000.00 ", Ref , $ -   , $ -   ,fold into HVAC,,,,,,,,
,020,EWH,Multipurpose Field,Lynnwood," $ 7,500,000.00 "," $ 7,500,000.00 "," $ 6,496,487.25 ", 11/15/2024 est ," $ 1,003,512.75 ", $ -   ,i,,,,,,,,
,021,MLE,HVAC boiler,Sno. Co.," $ 400,000.00 "," $ 400,000.00 "," $ 400,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,022,MTH,HVAC,Mt. Lake Terrace," $ 10,000,000.00 "," $ 15,000,000.00 "," $ 16,300,000.00 ", Ref ," $ (1,300,000.00)"," $ (5,000,000.00)",from MTH DB budget W added funds,,,,,,,,
,,,2025 subtotal,," $ 31,650,000.00 "," $ 32,150,000.00 "," $ 29,671,717.50 ",," $ 2,478,282.50 "," $ (500,000.00)",,,,,,,,,
,,,2026 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,023,Varies,Accessibility Improvement,Varies," $ 50,000.00 "," $ 50,000.00 "," $ 50,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,025,Varies,Fire Alarm System Upgrades,Varies," $ 2,400,000.00 "," $ 2,400,000.00 "," $ 2,400,000.00 ", Ref , $ -   , $ -   ,"MDE, MDH, MLE, WC, CVE, CLE, THE, TPE",,,,,,,,
,032,Varies,HVAC/ clean buildings act,Varies," $ 1,750,000.00 "," $ 1,750,000.00 "," $ 1,599,458.46 ", Ref ," $ 150,541.54 ", $ -   ,"CVE, SVE, TPE, CLE",,move up and include clean buildings act 2024,,,,,,
,013,Location,Playfield Upgrades,Varies," $ 3,000,000.00 "," $ 3,000,000.00 "," $ 3,000,000.00 ", Ref , $ -   , $ -   ,"CPE, MWC, SWE",,,,,,,,
,014,TPE,Exterior Cladding,Mt. Lake Terrace," $ 750,000.00 "," $ 750,000.00 "," $ 750,000.00 ", Ref , $ -   , $ -   ,add to 2024 bond above,,move up 2024,,,,,,
,,BVE MTH,Readerboard,," $ 100,000.00 "," $ 100,000.00 "," $ 100,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,026,"MDE, MWC",HVAC,Edmonds," $ 800,000.00 "," $ 800,000.00 "," $ 800,000.00 ", Ref , $ -   , $ -   ,,,MOVE UP 25,4,8000000,32000000,,,
,027,"MDE, MWC",Gutters,Edmonds," $ 350,000.00 "," $ 350,000.00 "," $ 350,000.00 ", Ref , $ -   , $ -   ,,,MOVE down + part of MDE roof,7,4000000,28000000,,,
,028,WWC,Parking Lot Paving,Edmonds," $ 3,500,000.00 "," $ 3,500,000.00 "," $ 3,500,000.00 ", Ref , $ -   , $ -   ,paving top first.,,,26,2000000,52000000,,,
,029,Varies,Portables,Varies," $ 1,350,000.00 "," $ 1,350,000.00 "," $ 1,350,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,,,2026 subtotal,," $ 14,050,000.00 "," $ 14,050,000.00 "," $ 13,899,458.46 ",," $ 150,541.54 ", $ -   ,,,,,,,,,
,,,2027 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,030,Varies,Accessibility Improvement,Varies," $ 50,000.00 "," $ 50,000.00 "," $ 50,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,034,WWC,Walkway roof,Edmonds," $ 2,000,000.00 "," $ 2,000,000.00 "," $ 2,000,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,035,Varies,Portables,Varies," $ 1,450,000.00 "," $ 1,450,000.00 "," $ 1,450,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,,,2027 subtotal,," $ 3,500,000.00 "," $ 3,500,000.00 "," $ 3,500,000.00 ",, $ -   , $ -   ,,,,,,,,,
,,,2028 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,000,,Inflation reserve,," $ 6,500,000.00 "," $ 6,500,000.00 "," $ 6,500,000.00 ", Ref , $ -   , $ -   ,,,,,,,,,
,,,2028 subtotal,," $ 6,500,000.00 "," $ 6,500,000.00 "," $ 6,500,000.00 ",, $ -   , $ -   ,,,,,,,,,
,,,,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,2016 Levy Standing,,,,,,,,
,2021 Levy Total,,,," $ 65,000,000.00 "," $ 65,500,000.00 "," $ 62,532,601.32 ",," $ 2,967,398.68 "," $ (500,000.00)"," $ 2,467,398.68 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2020 Levy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,2020 Completion,, 2020 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,,,,
,001,Varies,TPE Portable,Varies," $ 300,000.00 "," $ 300,000.00 "," $ 207,489.56 ", 10/11/22 correction ," $ 92,510.44 ", $ -   ,,,,,,,,,
,002,WWE,DDC Upgrade,Edmonds," $ 250,000.00 "," $ 280,000.00 "," $ 260,257.24 ",10/11/22 correction," $ 19,742.76 "," $ (30,000.00)",,,,,,,,,
,,EWH,,Edmonds,,,,,,,,,,,,,,,
,,FAWM,, Sno. Co.,,,,,,,,,,,,,,,
,,,2020 subtotal,," $ 550,000.00 "," $ 580,000.00 "," $ 467,746.79 ",," $ 112,253.21 "," $ (30,000.00)",,,,,,,,,
,,,2021 Completion,,, Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction, 2020 Levy Allocation ,,, Date ,,,Notes,,,,,,,,
,005,MTH,Gym Bleachers,Mt Lk Terace," $ 250,000.00 "," $ 400,000.00 "," $ 383,968.91 ", 10/11/22 correction ," $ 16,031.09 "," $ (150,000.00)",,,,,,,,,
,,EWH,Soundsystem,Lynwood," $ 45,000.00 "," $ 45,000.00 "," $ 41,925.33 ",10/11/22 correction," $ 3,074.67 ", $ -   ,,,,,,,,,
,,,2021 subtotal,," $ 295,000.00 "," $ 445,000.00 "," $ 425,894.23 ",," $ 19,105.77 "," $ (150,000.00)",,,,,,,,,
,,,2022 Completion,,, Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction, 2020 Levy Allocation ,,, Date ,,,Notes,,,,,,,,
,003,Varies,SecurityCameras / AC,Varies," $ 4,750,000.00 "," $ 4,500,000.00 "," $ 5,013,278.23 ", 2/15/2022 Est  ," $ (513,278.23)"," $ 250,000.00 ",,,,,,,,,
,016,ESC,"HVAC, Lighting, Roof",Lynnwood," $ 7,870,000.00 "," $ 9,000,000.00 "," $ 7,987,428.09 ", 7/25/23 correction ," $ 1,012,571.91 "," $ (1,130,000.00)",,,,,,,,,
,019,"MDH, MDE",Large Comm (Reader scoreboards etc),Varies," $ 75,000.00 "," $ 75,000.00 "," $ 57,830.58 ", MDH 12/15/2020 Update ," $ 17,169.42 ", $ -   ,,,,,,,,,
,017,"CWE, TPE, HTE",Portables,Varies," $ 1,400,000.00 "," $ 1,400,000.00 "," $ 1,448,176.44 ", 10/11/22 connection ," $ (48,176.44)", $ -   ,,,,,,,,,
,,,2022 subtotal,," $ 14,095,000.00 "," $ 14,975,000.00 "," $ 14,506,713.34 ",," $ 468,286.66 "," $ (880,000.00)",,,,,,,,,
,,,2023 completion,,, Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction, 2020 Levy Allocation ,,, Date ,,,Notes,,,,,,,,
,009,EWH,Gym Bleachers,Edmonds," $ 250,000.00 "," $ 700,000.00 "," $ 680,605.63 ", Most Current Budget ," $ 19,394.37 "," $ (450,000.00)",,,,,,,,,
,010,LHS,Tennis Court Surface,Edmonds," $ 250,000.00 "," $ 71,851.23 "," $ 71,851.23 ", 5/8/2023 update , $ 0.00 ," $ 178,148.77 ",,,,,,,,,
,011,WC,Asbestos Tile,Edmonds," $ 200,000.00 "," $ 100,000.00 "," $ 52,771.14 ", 2024 update ," $ 47,228.86 "," $ 100,000.00 ",,,,,,,,,
,014,MTH,"Softball field, Duggouts, Bleachers",Mt Lk Terace," $ 3,000,000.00 "," $ 6,300,000.00 "," $ 6,158,766.01 ", 5/24/2023 update ," $ 141,233.99 "," $ (3,300,000.00)",,,,,,,,,
,006,EWH,Weight Room Floor,Edmonds," $ 50,000.00 "," $ 100,000.00 "," $ 131,268.48 ", 5/4/2023 update ," $ (31,268.48)"," $ (50,000.00)",,,,,,,,,
,004,EWH,Kitchen & locker Floor ,Lynnwood," $ 100,000.00 "," $ 35,000.00 "," $ 32,893.49 ", 3/9/2023 update ," $ 2,106.51 "," $ 65,000.00 ",,,,,,,,,
,012,SVE,Gym floor,Edmonds," $ 300,000.00 "," $ 300,000.00 "," $ 220,651.58 ", 3/29/2023 update ," $ 79,348.42 ", $ -   ,,,,,,,,,
,,,2023 subtotal,," $ 4,150,000.00 "," $ 7,606,851.23 "," $ 7,348,807.55 ",," $ 258,043.68 "," $ (3,456,851.23)",,,,,,,,,
,,,2024 completion,,, Board Approved Budget , Most Current Estimate ,, Board Budget Remainder , Levy Allocation Remainder ,,,,,,,,,
,Priority,Location,Project,Juristiction, 2020 Levy Allocation ,,, Date ,,,Notes,,,,,,,,
,013,BTM,Softball Field Drainage,Brier," $ 500,000.00 "," $ 542,845.00 ", $ -   ,#REF!," $ 542,845.00 "," $ (42,845.00)",,,,,,,,,
,,Vaires,Portables,Varies," $ 1,300,000.00 "," $ 1,300,000.00 "," $ 1,300,000.00 ",, $ -   , $ -   ,,,,,,,,,
