Design Contingency, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Permit, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Abatement," $ 44,087.00 ",," $ 1,000.00 ", $ -   ," $ 44,087.00 ",,,,,,,,,,,
Consultant 02," $ 5,000.00 ",," $ 1,000.00 ", $ -   ," $ 5,000.00 ",,,,,,,,,,,
Consultant 03, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Maintenance, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Custodial, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Other, $ -   ,, $ 982.45 , $ -   ,,,,,,,,,,,,
Other Cost Subtotal:," $ 56,558.04 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 131,268.48 ",,,,,,,,,,,,,,,
Remainder," $ (81,268.48)",,,,,,,,,,,,,,,
Most Current Date,5/4/2023 update,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS Kitchen Floor/Boys Locker Room Phase 1+2,Most Current Budget,,3/9/2023 update,,,,,,,,,,,,,
Total Approved Project Budget," $ 35,000.00 ",,,,,,,,,,,,,,,
Graphic and 4 JACE Replacement," $ 24,579.30 ",," $ 24,579.30 ",,,,,,,,,,,,,
Construction Contingency (10%)," $ 2,457.93 ",," $ 2,457.93 ",,,,,,,,,,,,,
Sales Tax (10.6%)," $ 2,865.95 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 29,903.18 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 2,990.32 ",,,,,,,,,,,,,,,
Permit, $ -   ,, $ -   ,,,,,,,,,,,,,
Rerun Electrical + penetrations, $ -   ,, $ -   ,,,,,,,,,,,,,
Maintenance, $ -   ,, $ -   ,,,,,,,,,,,,,
Custodial, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 2,990.32 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 32,893.49 ",,,,,,,,,,,,,,,
Remainder," $ 2,106.51 ",,,,,,,,,,,,,,,
Most Current Date,3/9/2023 update,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH Baseball/Tennis P.2,Most Current Budget,,3/2/2017 est,,,,,,,,,,,,,
Total Approved Project Budget," $ 8,000,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 4,329,800.00 ",," $ 4,329,800.00 ",,,,,,,,,,,,,
Construction Reserve (15%)," $ 649,470.00 ",," $ 649,470.00 ",,,,,,,,,,,,,
Sales Tax (10.4%)," $ 517,844.08 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 5,497,114.08 ",,,,,,,,,,,,,,,
CPO Management (7%)," $ 384,797.99 ",,,,,,,,,,,,,,,
Principal Stipends," $ 6,500.00 ",,,,,,,,,,,,,,,
inflation 3%/yr@6 yrs," $ 989,480.53 ",,,,,,,,,,,,,,,
Remobilization (phasing cost)," $ 150,000.00 ",," $ 150,000.00 ",,,,,,,,,,,,,
Design," $ 150,000.00 ",," $ 150,000.00 ",,,,,,,,,,,,,
SEPA," $ 10,000.00 ",," $ 10,000.00 ",,,,,,,,,,,,,
Permit," $ 50,000.00 ",," $ 50,000.00 ",,,,,,,,,,,,,
Reprographics," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,
Principle stipends," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,
Custodian," $ 2,500.00 ",," $ 2,500.00 ",,,,,,,,,,,,,
Other Cost Subtotal:," $ 1,753,278.52 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 7,250,392.60 ",,,,,,,,,,,,,,,
Remainder," $ 749,607.40 ",,,,,,,,,,,,,,,
Most Current Date, 3/2/2017 est ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH Baseball/Tennis P.1,Most Current Budget,,3/2/2017 est,3/12/18 estimate,11/8/18 estimate,Wyser bid,3/2/2020,,,,,,,,,
Total Approved Project Budget," $ 5,800,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 5,242,260.55 ",," $ 4,000,000.00 "," $ 4,596,609.00 "," $ 4,676,761.00 "," $ 5,242,260.55 ",,,,,,,,,,
Construction Reserve (10%)," $ 460,931.25 ",," $ 600,000.00 "," $ 459,660.90 "," $ 467,676.10 "," $ 350,000.00 "," $ 460,931.25 ",,,,,,,,,
Sales Tax (10.4%)," $ 593,131.95 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 6,296,323.75 ",,,,,,,,,,,,,,,
CPO Management (7%)," $ 440,742.66 ",,,,,,,,,,,,,,,
Principal Stipends," $ 6,500.00 ",,,,,,,,,,,,,,,
Phase #1," $ 95,620.00 ",," $ 95,620.00 ",,,,,,,,,,,,,
Phase # 2," $ 227,570.00 ",," $ 227,570.00 ",,,,,,,,,,,,,
Design Contingency," $ 30,000.00 ",,,,," $ 30,000.00 ",,,,,,,,,,
SEPA," $ 20,000.00 ",," $ 20,000.00 ",,,,,,,,,,,,,
traffic study, $ -   ,," $ 35,000.00 ",,, $ -   ,,,,,,,,,,
Permit," $ 26,532.00 ",," $ 100,000.00 ",,," $ 26,532.00 ",,,,,,,,,,
Reprographics," $ 1,000.00 ",," $ 5,000.00 ",,," $ 1,000.00 ",,,,,,,,,,
extra cage & move sign, $ -   ,," $ 10,000.00 ",,, $ -   ,,,,,,,,,,
Custodian," $ 2,500.00 ",," $ 2,500.00 ",,,,,,,,,,,,,
Perkins Coie," $ 9,702.00 ",," $ 10,000.00 "," $ 9,702.00 ",,,,,,,,,,,,
temp storage," $ 25,000.00 ",," $ 50,000.00 ",,," $ 25,000.00 ",,,,,,,,,,
Other Cost Subtotal:," $ 885,166.66 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 7,181,490.41 ",,,,,,,,,,,,,,,
potential verdant contribution," $ 640,000.00 ",,,,,,,,,,,,,,,
property revenue contribution," $ 750,000.00 ",,,,,,,,,,,,,,,
Remainder," $ 8,509.59 ",,,,,,,,,,,,,,,
Most Current Date,3/2/2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH softball surface,Most Current Budget,,3/12/18 estimate,11/8/18 estimate,wyser plug,,,,,,,,,,,
Total Approved Project Budget," $ 600,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 450,000.00 ",," $ 418,301.00 "," $ 398,382.00 "," $ 450,000.00 ",,,,,,,,,,,
Construction Reserve (10%)," $ 39,838.20 ",," $ 41,830.10 "," $ 39,838.20 ",,,,,,,,,,,,
Sales Tax (10.4%)," $ 50,943.17 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 540,781.37 ",,,,,,,,,,,,,,,
CPO Management (5%)," $ 27,039.07 ",,,,,,,,,,,,,,,
Permit," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,
Custodian, $ 500.00 ,, $ 500.00 ,,,,,,,,,,,,,
Perkins Coie," $ 1,000.00 ",," $ 1,000.00 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Cost Subtotal:," $ 33,539.07 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 574,320.44 ",,,,,,,,,,,,,,,
Remainder," $ 25,679.56 ",,,,,,,,,,,,,,,
Most Current Date, wyser plug ,,,,,,,,,,,,,,,
," $ 5,950,000.00 ",,,,,,,,,,,,,,,
," $ 7,755,810.85 ",,,,,,,,,,,,,,,
," $ (1,805,810.85)",,,,,,,,,,,,,,,
EWH Gym Sound System ,Most Current Budget,,7/19/2016,8/19/2016,take alt1/alt3 and alt 5,,,,,,,,,,,
Total Approved Project Budget," $ 70,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 56,458.91 ",," $ 48,000.00 "," $ 61,572.71 "," $ 56,458.91 ",,,,,,,,,,,
Construction Contingency (3%)," $ 1,070.54 ",," $ 2,400.00 ",," $ 1,070.54 ",,,,,,,,,,,
Sales Tax (9.8%)," $ 5,637.89 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 63,167.34 ",,,,,,,,,,,,,,,
CPO Management (8%)," $ 2,000.00 ",,, $ -   ,,,,,,,,,,,,
A/E Fee ," $ 2,000.00 ",," $ 2,000.00 ",,,,,,,,,,,,,
Red Hawk Fire Alarm relay and testing, $ 664.29 ,, $ -   ,, $ 664.29 ,,,,,,,,,,,
1% Contingency, $ -   ,, $ -   ,, $ -   ,,,,,,,,,,,
Other Cost Subtotal:," $ 4,664.29 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 67,831.63 ",,,,,,,,,,,,,,,
Remainder," $ 2,168.37 ",,,,,,,,,,,,,,,
Most Current Date,7/19/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH stadium & lighting,Most Current Budget,,2/10/15 Est,1/8/16 final,,,,,,,,,,,,
Total Approved Project Budget," $ 1,750,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 1,395,248.00 ",," $ 1,350,000.00 "," $ 1,395,248.00 ",,,,,,,,,,,,
Construction Contingency (3%)," $ 33,335.00 ",," $ 67,500.00 "," $ 33,335.00 ",,,,,,,,,,,,
Sales Tax (9.5%)," $ 135,715.39 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 1,564,298.39 ",,,,,,,,,,,,,,,
CPO Management," $ 62,572.00 ",,,,,,,,,,,,,,,
A/E Fee (SEPA + Geotech)," $ 65,650.00 ",," $ 50,000.00 "," $ 65,650.00 ",,,,,,,,,,,,
Design Contingency (10%)," $ 5,500.00 ",," $ 5,000.00 "," $ 5,500.00 ",,,,,,,,,,,,
Specialty testing and inspections," $ 2,500.00 ",," $ 2,500.00 "," $ 2,500.00 ",,,,,,,,,,,,
FFE," $ 5,000.00 ",," $ 7,500.00 "," $ 5,000.00 ",,,,,,,,,,,,
Reprographics, $ -   ,," $ 1,000.00 ", $ -   ,,,,,,,,,,,,
Legal, $ -   ,," $ 1,500.00 ", $ -   ,,,,,,,,,,,,
Custodial, $ -   ,," $ 1,500.00 ", $ -   ,,,,,,,,,,,,
PUB rebate LED Light," $ (48,324.00)",,," $ (48,324.00)",,,,,,,,,,,,
1% Contingency, $ -   ,," $ 17,500.00 ", $ -   ,,,,,,,,,,,,
Other Cost Subtotal:," $ 92,898.00 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 1,657,196.39 ",,,,,,,,,,,,,,,
Remainder," $ 92,803.62 ",,,,,,,,,,,,,,,
Most Current Date, 1/8/16 final ,,,,,,,,,,,,,,,
